wrench_mz.txt,wrench_fx.txt,wrench_fy.txt,proportionalf_2.txt,integralf_2.txt,proportionalf_5.txt,wrench_fz.txt,integralf_4.txt,wrench_my.txt,integralf_1.txt,proportionalf_3.txt,wrench_mx.txt,proportionalf_1.txt,integralf_3.txt,integralf_5.txt,proportionalf_4.txt,accd5.txt,veld3.txt,vela3.txt,error_vel_2.txt,posd1.txt,veld5.txt,posd2.txt,trq2.txt,vela2.txt,error_pos_3.txt,posa4.txt,accd4.txt,posa1.txt,posd3.txt,trq3.txt,trq5.txt,posd4.txt,posa3.txt,accd2.txt,vela5.txt,error_pos_2.txt,trq4.txt,vela1.txt,error_vel_4.txt,accd1.txt,accd3.txt,veld2.txt,vela4.txt,error_vel_3.txt,posa5.txt,error_pos_1.txt,error_pos_5.txt,trq1.txt,error_vel_5.txt,posd5.txt,veld4.txt,veld1.txt,error_vel_1.txt,posa2.txt,error_pos_4.txt,estimated_trqs_4.txt,estimated_trqs_5.txt,estimated_trqs_2.txt,estimated_trqs_3.txt,estimated_trqs_1.txt
,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.00147493,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.01005,-1.09241,0.0,0.0,0.0,-0.0,0.0,-0.014484,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,4.42478e-05,0.0,-2.21239e-05,-0.0,0.00147493,2.21239e-05,0.0,0.0,0.0,-0.0,0.0,0.319072,-0.00142892,0.988502,-1.8181,0.000314225
,,,,,,,,,,,,,,,,0.0464909,-6.06332e-05,0.0,6.99614e-05,7.78323e-08,0.00170796,2.33497e-07,-0.031356,-0.0,4.69215e-05,-0.0,0.00744384,-0.0,-2.02364e-07,-0.24455,-1.06457,1.24532e-07,-4.71239e-05,0.0139572,0.00147493,2.33497e-07,0.007242,-0.0,3.73127e-05,0.0046524,-0.0120962,6.99614e-05,-0.0,-6.06332e-05,4.42478e-05,7.78323e-08,-6.59686e-06,-0.0,0.000233038,3.76509e-05,3.73127e-05,2.33205e-05,2.33205e-05,-0.0,1.24532e-07,0.135629,-0.00173573,0.75812,-2.26106,0.00216122
,,,,,,,,,,,,,,,,0.0922825,-0.000241319,-0.00942478,-0.000392836,6.20322e-07,0.00240241,1.86097e-06,-0.067938,0.00067128,0.000249715,2.21239e-05,0.0147758,-0.0,-1.61284e-06,-0.34505,-1.04022,9.92515e-07,-0.000251327,0.0277045,-0.0,-3.84159e-05,0.021726,-0.0,0.000148504,0.00923484,-0.0240106,0.000278445,-0.0,0.00918346,6.63717e-05,6.20322e-07,-8.55047e-06,-0.0,0.00240241,5.78212e-05,0.000148504,9.28148e-05,9.28148e-05,4.02768e-05,-2.11314e-05,0.237157,-0.00134206,1.00387,-2.2885,0.0227154
,,,,,,,,,,,,,,,,0.137379,-0.000540242,-0.0230383,-0.00340433,2.08572e-06,0.0035513,6.25715e-06,0.047034,0.00402768,0.000638604,6.63717e-05,0.0219963,-0.0,-5.42286e-06,-0.4154,-1.02283,3.33715e-06,-0.000644026,0.041243,0.00147493,-7.42965e-05,0.032589,-0.0,-0.00409232,0.0137477,-0.035744,0.000623356,0.00442478,0.0224981,8.84956e-05,2.08572e-06,-1.28161e-06,-0.0,0.00207637,8.7214e-05,0.000332456,0.000207785,0.000207785,8.05537e-05,-6.30345e-05,-0.386745,0.000158157,-0.0585371,-3.26276,-0.021432
,,,,,,,,,,,,,,,,0.181782,-0.000955598,-0.0502655,-0.00158251,4.9253e-06,0.00514768,1.47759e-05,0.099294,0.00268512,0.0013852,8.84956e-05,0.029106,-0.0,-1.28058e-05,-0.36515,-0.998473,7.88048e-06,-0.00139801,0.0545737,0.00147493,-8.59162e-05,0.032589,-0.0,-0.000886866,0.0181912,-0.0472973,0.00110261,0.00147493,0.0493099,8.84956e-05,4.9253e-06,4.18432e-05,-0.005226,0.00367275,0.000130339,0.00058806,0.000367537,0.000367537,0.000100692,-8.06151e-05,-0.359349,-3.5987e-06,0.020093,-3.45317,-0.0168482
,,,,,,,,,,,,,,,,0.225498,-0.00148559,-0.084823,-0.00097098,9.58344e-06,0.00718465,2.87503e-05,0.15678,0.00268512,0.00234699,0.000132743,0.0361055,-0.0,-2.49169e-05,-0.3618,-0.984557,1.53335e-05,-0.0023719,0.0676978,0.00147493,-8.2011e-05,0.032589,-0.0,-0.00351057,0.0225659,-0.0586714,0.00171414,0.00442478,0.0833374,0.000110619,9.58344e-06,8.10167e-05,-0.005226,0.00570972,0.000191636,0.000914209,0.000571381,0.000571381,0.000110761,-0.00011741,-0.310471,-0.000427041,-0.0181921,-3.13505,-0.0363623
,,,,,,,,,,,,,,,,0.268528,-0.00212843,-0.109956,0.00245588,1.64976e-05,0.00965535,4.94928e-05,0.203814,-0.0,0.00356994,0.000176991,0.0429952,-0.0,-4.28937e-05,-0.43215,-0.942809,2.63961e-05,-0.00361283,0.0806161,-0.0,-6.12685e-05,0.032589,-0.0,-0.00311497,0.026872,-0.0698673,0.00245588,0.00442478,0.107827,0.000132743,1.64976e-05,0.000142734,-0.005226,0.00965535,0.000275478,0.0013098,0.000818627,0.000818627,0.000110761,-0.000150595,0.0447253,-0.000668859,0.607897,-2.34228,-0.00148164
,,,,,,,,,,,,,,,,0.310876,-0.00288234,-0.119381,0.00332578,2.60984e-05,0.0125529,7.82951e-05,0.256074,-0.0,0.00483303,0.000199115,0.0497759,-0.0,-6.78558e-05,-0.51255,-0.918456,4.17574e-05,-0.00490088,0.0933298,0.00147493,-3.24661e-05,0.032589,-0.0,0.000298824,0.0311099,-0.0808858,0.00332578,0.00147493,0.116498,0.000154867,2.60984e-05,0.000231299,-0.005226,0.011078,0.000386166,0.00177375,0.00110859,0.00110859,0.000110761,-0.000157358,0.256413,-0.00170497,0.919316,-2.08864,0.000555302
,,,,,,,,,,,,,,,,0.352547,-0.00374556,-0.126711,0.00365052,3.88096e-05,0.0158706,0.000116429,0.282204,0.00067128,0.00604091,0.000243363,0.056448,-0.0,-0.000100905,-0.61975,-0.90454,6.20954e-05,-0.00614181,0.10584,0.00147493,-4.40169e-06,0.028968,-0.0,-0.00211982,0.03528,-0.091728,0.0043218,0.00442478,0.122965,0.000154867,3.88096e-05,0.000373069,-0.005226,0.0143957,0.000527937,0.00230496,0.0014406,0.0014406,0.00012083,-0.000181267,0.253179,-0.00161325,0.874552,-1.84474,-0.00359677
,,,,,,,,,,,,,,,,0.393543,-0.00471632,-0.125664,0.00544191,5.50483e-05,0.0196016,0.000165145,0.303108,-0.0,0.00728674,0.000265487,0.0630121,-0.0,-0.000143125,-0.6365,-0.880187,8.80772e-05,-0.00742987,0.118148,0.00147493,3.42451e-05,0.025347,-0.0,0.00142742,0.0393826,-0.102395,0.00544191,0.00147493,0.120947,0.000176991,5.50483e-05,0.000527965,-0.010452,0.0181267,0.000704956,0.00290235,0.00181397,0.00181397,0.0001309,-0.000177409,0.258334,-0.00171623,0.921658,-2.08579,0.000410213
,,,,,,,,,,,,,,,,0.433868,-0.00579287,-0.132994,0.0060128,7.52246e-05,0.0237392,0.000225674,0.334464,0.00067128,0.00853804,0.000309734,0.0694687,-0.0,-0.000195584,-0.70015,-0.855834,0.000120359,-0.00873363,0.130254,0.00147493,8.47049e-05,0.025347,-0.0,-0.000859935,0.043418,-0.112887,0.00668408,0.00442478,0.127201,0.000199115,7.52246e-05,0.000722209,-0.010452,0.0222643,0.000921324,0.00356484,0.00222803,0.00222803,0.000140969,-0.000189375,0.390353,-0.00240501,1.09863,-1.56332,0.00494027
,,,,,,,,,,,,,,,,0.473525,-0.00697347,-0.126711,0.00737504,9.97422e-05,0.0282768,0.000299227,0.36582,0.00067128,0.00968381,0.000353982,0.0758185,-0.0,-0.00025933,-0.737,-0.845397,0.000159588,-0.00994314,0.14216,-0.0,0.000158258,0.028968,-0.0,0.00281644,0.0473866,-0.123205,0.00804632,0.00147493,0.119737,0.000221239,9.97422e-05,0.000959835,-0.010452,0.0282768,0.00118107,0.00429137,0.00268211,0.00268211,0.000140969,-0.000194395,0.466584,-0.00187546,1.18944,-1.58843,-0.000688566
,,,,,,,,,,,,,,,,0.512518,-0.0082564,-0.123569,0.00885533,0.000128998,0.0332075,0.000386994,0.412854,0.00067128,0.0107858,0.00039823,0.082062,-0.0,-0.000335395,-0.8844,-0.817565,0.000206397,-0.0111212,0.153866,0.00147493,0.000235956,0.032589,-0.0,0.000656082,0.0512887,-0.133351,0.00952661,0.00442478,0.115313,0.000243363,0.000128998,0.00124481,-0.0,0.0317326,0.00148817,0.00508086,0.00317554,0.00317554,0.000151038,-0.000191833,0.623387,-0.0026744,1.42254,-1.1358,0.00662552
,,,,,,,,,,,,,,,,0.550851,-0.00963992,-0.109956,0.0104517,0.000163382,0.0385249,0.000490146,0.438984,0.00067128,0.0115761,0.000442478,0.0881997,-0.0,-0.000424793,-1.1591,-0.796691,0.000261411,-0.0120009,0.165374,0.00147493,0.000329038,0.03621,-0.0,0.00150748,0.0551248,-0.143325,0.011123,0.00442478,0.100316,0.000265487,0.000163382,0.00158103,-0.0,0.03705,0.00184651,0.00593226,0.00370766,0.00370766,0.000161107,-0.000181067,1.33006,-0.00459766,2.43237,0.463097,0.0230666
,,,,,,,,,,,,,,,,0.588527,-0.0111223,-0.0638791,0.0121622,0.000203278,0.0442224,0.000609834,0.475566,0.00067128,0.0115509,0.000464602,0.0942323,-0.0,-0.000528522,-1.67165,-0.789733,0.000325245,-0.0120794,0.176685,0.00147493,0.000438657,0.039831,-0.0,0.00241973,0.0588952,-0.153127,0.0128334,0.00442478,0.0527567,0.000287611,0.000203278,0.00197232,-0.0,0.0427474,0.00225994,0.0068445,0.00427781,0.00427781,0.000171177,-0.000139357,1.76079,-0.00572618,3.02826,1.56371,0.0312933
,,,,,,,,,,,,,,,,0.625549,-0.0127019,0.00628319,0.014656,0.000249063,0.0502933,0.000747188,0.49647,-0.0,0.0112277,0.000464602,0.10016,-0.0,-0.000647563,-1.742,-0.754943,0.0003985,-0.0118752,0.1878,0.00147493,0.000565943,0.047073,-0.0,0.00634163,0.0626001,-0.16276,0.014656,0.00147493,-0.0189851,0.000309734,0.000249063,0.00242247,0.005226,0.0488183,0.00273221,0.00781655,0.00488535,0.00488535,0.000181246,-6.61012e-05,0.677749,-0.00283377,1.534,-0.991555,0.0159803
,,,,,,,,,,,,,,,,0.661921,-0.014377,0.0230383,0.0159175,0.000301107,0.0567312,0.000903322,0.517374,0.00067128,0.0108724,0.000464602,0.105984,-0.0,-0.000782879,-1.76545,-0.751464,0.000481772,-0.0116553,0.19872,0.00147493,0.000712007,0.047073,-0.0,0.00884736,0.06624,-0.172224,0.0165888,-0.0,-0.0374153,0.000331858,0.000301107,0.00293517,0.005226,0.0552562,0.00326702,0.00884736,0.0055296,0.0055296,0.000191315,1.71698e-05,0.191224,-0.00150127,0.805739,-2.11458,-0.00314384
,,,,,,,,,,,,,,,,0.697647,-0.0161458,0.0167552,0.0179585,0.000359775,0.0635295,0.00107933,0.559182,0.00067128,0.0107042,0.000486726,0.111704,-0.0,-0.000935415,-1.70515,-0.737548,0.00057564,-0.0116396,0.209446,0.00147493,0.000877941,0.047073,-0.0,0.00993589,0.0698152,-0.18152,0.0186298,-0.0,-0.032901,0.000353982,0.000359775,0.00351405,0.005226,0.0620546,0.00386803,0.00993589,0.00620993,0.00620993,0.000201384,8.89145e-05,0.0455541,-0.00117981,0.641549,-2.64681,-0.000779
,,,,,,,,,,,,,,,,0.73273,-0.0180068,-0.00314159,0.0187632,0.000425424,0.070682,0.00127627,0.585312,0.00201384,0.0105492,0.00050885,0.117322,-0.0,-0.0011061,-1.68505,-0.720153,0.000680678,-0.0116553,0.219978,0.00147493,0.00105475,0.047073,-0.0,0.00665633,0.0733261,-0.190648,0.0207771,0.00442478,-0.0148652,0.000376106,0.000425424,0.00416269,0.005226,0.069207,0.0045388,0.0110811,0.00692569,0.00692569,0.000221523,0.000171829,0.28166,-0.00168359,0.88641,-1.75659,-0.00879053
,,,,,,,,,,,,,,,,0.767173,-0.0199582,0.0,0.0223574,0.000498405,0.078182,0.00149521,0.616668,0.00067128,0.0103595,0.000530973,0.122837,-0.0,-0.00129585,-1.67835,-0.692321,0.000797448,-0.0116553,0.230319,0.00147493,0.00126362,0.054315,-0.0,0.0108071,0.076773,-0.19961,0.0230287,0.00147493,-0.0199582,0.000376106,0.000498405,0.00490672,-0.0,0.0767071,0.00528283,0.012282,0.00767624,0.00767624,0.000231592,0.000266474,0.334396,-0.00192006,1.07225,-1.7958,0.0139556
,,,,,,,,,,,,,,,,0.800981,-0.0219984,0.0,0.023369,0.000579062,0.0860233,0.00173719,0.668928,0.00201384,0.0101497,0.000553097,0.12825,-0.0,-0.00150556,-1.6683,-0.678405,0.0009265,-0.0116553,0.240469,0.00147493,0.00148546,0.054315,-0.0,0.0135375,0.0801562,-0.208406,0.0253828,-0.0,-0.0219984,0.00039823,0.000579062,0.00570534,-0.0,0.0845484,0.00610357,0.0135375,0.00846094,0.00846094,0.00025173,0.000373403,0.363704,-0.00198122,1.04734,-1.77338,-0.00119868
,,,,,,,,,,,,,,,,0.834156,-0.0241258,0.0,0.0258236,0.000667735,0.0941995,0.00200321,0.700284,0.00201384,0.0099192,0.000575221,0.133562,-0.0,-0.00173611,-1.6683,-0.66101,0.00106838,-0.0116553,0.250429,0.00147493,0.00172127,0.057936,-0.0,0.0133717,0.0834762,-0.217038,0.0278375,0.00147493,-0.0241258,0.000420354,0.000667735,0.00658406,-0.0,0.0927246,0.00700441,0.0148466,0.00927915,0.00927915,0.000281938,0.000493155,0.32771,-0.00187201,1.00044,-1.8055,4.11464e-08
,,,,,,,,,,,,,,,,0.866702,-0.0263387,0.0,0.0283769,0.000764755,0.102704,0.00229427,0.742092,0.00201384,0.00966695,0.000597345,0.138773,-0.0,-0.00198836,-1.6683,-0.654052,0.00122361,-0.0116553,0.2602,0.00147493,0.00198212,0.07242,-0.0,0.0147335,0.0867333,-0.225507,0.0303908,0.00147493,-0.0263387,0.000442478,0.000764755,0.00754618,-0.0,0.101229,0.00798866,0.0162084,0.0101303,0.0101303,0.000312145,0.000626263,0.463532,-0.00271758,1.27153,-1.67877,0.0164288
,,,,,,,,,,,,,,,,0.898623,-0.0286354,0.0,0.0290131,0.000870448,0.111531,0.00261134,0.773448,0.00402768,0.00939214,0.000641593,0.143884,-0.0,-0.00226316,-1.6683,-0.629699,0.00139272,-0.0116553,0.269783,-0.0,0.00225892,0.076041,-0.0,0.013197,0.0899278,-0.233812,0.0330408,0.00442478,-0.0286354,0.000464602,0.000870448,0.00859497,-0.0,0.111531,0.00905957,0.0176218,0.0110136,0.0110136,0.000352422,0.000751124,0.327493,-0.00147877,0.999952,-1.80572,0.000310918
,,,,,,,,,,,,,,,,0.929922,-0.0310144,0.0,0.0317581,0.000985133,0.120675,0.0029554,0.794352,0.00402768,0.00909396,0.000685841,0.148896,-0.0,-0.00256135,-1.6683,-0.62622,0.00157621,-0.0116553,0.27918,0.00147493,0.00253249,0.079662,-0.0,0.014661,0.09306,-0.241956,0.0357858,0.00442478,-0.0310144,0.000486726,0.000985133,0.00973362,-0.0,0.1192,0.0102203,0.0190858,0.0119286,0.0119286,0.000422907,0.000890372,0.455209,-0.00234111,1.35488,-1.68066,0.038279
,,,,,,,,,,,,,,,,0.960603,-0.033474,0.0,0.0305684,0.00110912,0.130128,0.00332737,0.804804,0.00805537,0.00877159,0.000752212,0.153809,-0.0,-0.00288372,-1.6683,-0.605346,0.0017746,-0.0116553,0.288391,0.00147493,0.0027937,0.090525,-0.0,0.0161746,0.0961304,-0.249939,0.0386238,0.00442478,-0.033474,0.00050885,0.00110912,0.0109653,-0.0,0.128653,0.0114741,0.0205994,0.0128746,0.0128746,0.000533668,0.00102238,0.512305,-0.00252773,1.46034,-1.62791,0.0434654
,,,,,,,,,,,,,,,,0.990668,-0.0360126,0.0,0.0287987,0.00124273,0.139885,0.00372818,0.794352,0.0127543,0.00842422,0.000840708,0.158623,-0.0,-0.00323109,-1.6884,-0.601867,0.00198836,-0.0116553,0.297418,0.00147493,0.00299313,0.094146,-0.0,0.0162619,0.0991392,-0.257762,0.041553,0.0058997,-0.0360126,0.000530973,0.00124273,0.0122929,-0.0,0.13841,0.0128239,0.0221616,0.013851,0.013851,0.000735052,0.00114765,0.796817,-0.00352819,2.14481,-1.35554,0.104899
,,,,,,,,,,,,,,,,1.02012,-0.0386287,0.0,0.0204055,0.00138624,0.149939,0.00415873,0.721188,0.0241661,0.00805108,0.000995575,0.163339,-0.0,-0.00360423,-1.70515,-0.59143,0.00221799,-0.0116553,0.306261,0.00147493,0.00311153,0.119493,-0.0,0.013447,0.102087,-0.265426,0.0445716,0.0103245,-0.0386287,0.000553097,0.00138624,0.0137197,-0.0,0.148464,0.0142728,0.0237715,0.0148572,0.0148572,0.0010472,0.00122241,0.698088,-0.00311726,1.76363,-1.45862,0.0514668
,,,,,,,,,,,,,,,,1.04897,-0.0413206,0.0,0.01747,0.00153997,0.160285,0.0046199,0.710736,0.0302076,0.00765139,0.00123894,0.167958,-0.0,-0.00400391,-1.70515,-0.574035,0.00246395,-0.0116553,0.314921,0.00147493,0.00329077,0.137598,-0.0,0.00772895,0.104974,-0.272932,0.0476776,0.0176991,-0.0413206,0.000575221,0.00153997,0.0152484,-0.0,0.15881,0.0158237,0.0254281,0.0158925,0.0158925,0.00132914,0.00122501,0.514181,-0.00239254,1.1458,-1.64513,-0.0275463
,,,,,,,,,,,,,,,,1.07721,-0.0440868,0.0,0.0226756,0.00170419,0.170917,0.00511257,0.621894,0.0281938,0.00724013,0.00165929,0.17248,1.00692e-05,-0.00443089,-1.7085,-0.55664,0.0027267,-0.011671,0.3234,0.00147493,0.00348135,0.155703,-0.0,-0.000893265,0.1078,-0.28028,0.0508694,0.0280236,-0.0440868,0.000597345,0.00169412,0.0168821,-0.0,0.169442,0.0174794,0.0271303,0.0169565,0.0169565,0.00163121,0.00106741,0.969471,-0.0037633,2.02495,-1.25252,0.0467384
,,,,,,,,,,,,,,,,1.10485,-0.0469257,-0.0010472,0.0219236,0.00187919,0.181827,0.00563757,0.559182,0.0322215,0.00678512,0.00230088,0.176906,1.00692e-05,-0.00488589,-1.75205,-0.542724,0.0030067,-0.011671,0.331699,0.00147493,0.00373449,0.170187,0.00067128,-0.0212701,0.110566,-0.287473,0.054145,0.0501475,-0.0458785,0.000619469,0.00186912,0.0186235,-0.0,0.180352,0.0192429,0.0288773,0.0180483,0.0173771,0.00190308,0.000705818,0.596339,-0.00264701,0.963745,-1.55823,-0.119877
,,,,,,,,,,,,,,,,1.1319,-0.0498357,0.0,0.0333367,0.00206525,0.193012,0.00619574,0.747318,0.0241661,0.00630138,0.00303097,0.181237,1.00692e-05,-0.00536964,-1.76545,-0.532287,0.00330439,-0.011671,0.339819,0.00147493,0.00412148,0.188292,-0.0,-0.0401283,0.113273,-0.29451,0.0575028,0.0707965,-0.0498357,0.000641593,0.00205518,0.0204753,-0.0,0.191537,0.0211169,0.0306681,0.0191676,0.0191676,0.00207426,0.000273421,0.134216,-0.00108246,0.303537,-2.00519,-0.0930756
,,,,,,,,,,,,,,,,1.15835,-0.0528154,0.0,0.0461726,0.00226263,0.204463,0.00678789,0.815256,0.0147682,0.00578818,0.00382743,0.185472,1.00692e-05,-0.00588284,-1.7755,-0.52185,0.00362021,-0.011671,0.34776,0.00147493,0.0045626,0.199155,-0.0,-0.0427195,0.11592,-0.301392,0.0609408,0.0752212,-0.0528154,0.000663717,0.00225256,0.0224403,-0.0,0.202988,0.0231041,0.0325018,0.0203136,0.0203136,0.00222529,-0.000207225,0.487089,-0.00164268,1.39214,-1.65296,0.0377759
,,,,,,,,,,,,,,,,1.18421,-0.0558631,0.0,0.0456615,0.00247161,0.216177,0.00741482,0.752544,0.0187959,0.00524484,0.0045354,0.189613,1.00692e-05,-0.00642618,-1.78555,-0.500976,0.00395457,-0.011671,0.355524,0.00442478,0.00491765,0.210018,-0.0,-0.0423189,0.118508,-0.308121,0.0644574,0.0766962,-0.0558631,0.000685841,0.00246154,0.0245212,-0.0,0.211752,0.025207,0.0343773,0.0214858,0.0214858,0.00249716,-0.000580829,0.361402,-0.00298087,1.57456,-1.74514,0.118887
,,,,,,,,,,,,,,,,1.20948,-0.0589773,0.0,0.0378431,0.00269243,0.228146,0.00807729,0.75777,0.0302076,0.00467069,0.00506637,0.19366,1.00692e-05,-0.00700032,-1.7956,-0.497497,0.00430789,-0.011671,0.363112,0.00147493,0.00525792,0.231744,-0.0,-0.0271281,0.121037,-0.314697,0.0680507,0.0634218,-0.0589773,0.000730088,0.00268236,0.0266984,-0.0,0.226671,0.0274284,0.0362937,0.0226836,0.0226836,0.00281938,-0.000758481,0.0705044,-0.00107665,0.65993,-2.0369,0.00842318
,,,,,,,,,,,,,,,,1.23417,-0.0621565,0.0,0.0415114,0.00292536,0.240364,0.00877608,0.867516,0.0302076,0.00406508,0.00561947,0.197613,2.01384e-05,-0.00760594,-1.8157,-0.494018,0.00468058,-0.011671,0.370525,0.00147493,0.00565463,0.238986,-0.0,-0.0148472,0.123508,-0.321122,0.071719,0.0530973,-0.0621565,0.000752212,0.00290522,0.0290186,0.005226,0.238889,0.0297708,0.0382501,0.0239063,0.0239063,0.00312145,-0.000938892,0.556557,-0.00249144,1.48768,-1.59046,0.0616674
,,,,,,,,,,,,,,,,1.25828,-0.0653992,0.0,0.0412253,0.00317064,0.252827,0.00951192,0.789126,0.0342353,0.00342735,0.00621681,0.201474,2.01384e-05,-0.00824366,-1.83915,-0.483581,0.00507302,-0.011671,0.377764,0.00147493,0.00600783,0.242607,0.00067128,-0.0172765,0.125921,-0.327395,0.0754606,0.0575221,-0.0653992,0.000774336,0.0031505,0.0314622,0.020904,0.251352,0.0322365,0.0402457,0.0251535,0.0244823,0.00350408,-0.00114379,0.27066,-0.00183476,0.943115,-1.85728,-0.0180573
,,,,,,,,,,,,,,,,1.28182,-0.0687039,0.0,0.0443671,0.00342851,0.265528,0.0102855,1.22288,0.0349066,0.00275689,0.00665929,0.205242,2.01384e-05,-0.00891413,-1.8559,-0.455749,0.00548562,-0.011671,0.38483,0.00147493,0.00651965,0.249849,-0.0,-0.0122929,0.128277,-0.333519,0.0792737,0.0545723,-0.0687039,0.00079646,0.00340837,0.0340317,0.062712,0.264053,0.0348281,0.0422793,0.0264246,0.0264246,0.00376588,-0.00117367,-0.516039,0.00175631,-0.703895,-2.59767,-0.106566
,,,,,,,,,,,,,,,,1.30478,-0.0720691,0.0,0.0610044,0.00369921,0.278462,0.0110976,1.33786,0.0221523,0.00205307,0.00701327,0.208919,2.01384e-05,-0.00961794,-1.87935,-0.445312,0.00591873,-0.011671,0.391724,0.00442478,0.0071505,0.249849,-0.0,0.00747705,0.130575,-0.339494,0.0831566,0.0368732,-0.0720691,0.000840708,0.00367907,0.0367072,0.094068,0.274037,0.0375479,0.0443502,0.0277189,0.0277189,0.00394713,-0.00109454,-0.0154885,-0.00146898,0.262007,-2.13146,-0.0534426
,,,,,,,,,,,,,,,,1.32717,-0.0754933,0.0,0.0709969,0.00398296,0.291622,0.0119489,1.42147,0.0161107,0.00131531,0.00727876,0.212505,3.02076e-05,-0.0103557,-1.8961,-0.438354,0.00637274,-0.011671,0.398447,0.00147493,0.00784065,0.249849,-0.0,0.015484,0.132816,-0.34532,0.0871076,0.0309734,-0.0754933,0.000862832,0.00395276,0.0395353,0.135876,0.290147,0.0403981,0.0464574,0.0290359,0.0290359,0.00410824,-0.000906018,0.168419,-0.00119695,0.728415,-1.95321,0.0176708
,,,,,,,,,,,,,,,,1.349,-0.078975,0.0,0.0763568,0.00428,0.305003,0.01284,1.51554,0.0147682,0.000558725,0.00747788,0.216,3.02076e-05,-0.011128,-1.92625,-0.431396,0.006848,-0.0116867,0.405,0.00147493,0.00864114,0.249849,0.00067128,0.0220513,0.135,-0.351,0.091125,0.0265487,-0.078975,0.000884956,0.00424979,0.0424961,0.162006,0.303528,0.043381,0.0486,0.030375,0.0297037,0.00419886,-0.000629875,-0.174579,0.000478023,-0.0501981,-2.31169,-0.096362
,,,,,,,,,,,,,,,,1.37026,-0.0825128,-0.0010472,0.0884943,0.00459054,0.3186,0.0137716,1.69322,0.0067128,-0.000248668,0.00761062,0.219405,4.02768e-05,-0.0119354,-1.94635,-0.410522,0.00734486,-0.0116867,0.411385,0.00442478,0.00955261,0.246228,-0.0,0.033078,0.137128,-0.356533,0.0952071,0.0176991,-0.0814656,0.000929203,0.00455026,0.0455697,0.188136,0.314175,0.0464989,0.0507771,0.0317357,0.0317357,0.004219,-0.000265762,-0.0298079,-0.00127528,0.252745,-2.11252,-0.0249075
,,,,,,,,,,,,,,,,1.39097,-0.0861052,0.0,0.0986809,0.00491478,0.332406,0.0147444,1.72981,0.00067128,-0.00109171,0.00772124,0.222721,5.0346e-05,-0.0127784,-1.97315,-0.407043,0.00786365,-0.0116867,0.417601,0.00147493,0.0105254,0.246228,0.00067128,0.0426633,0.1392,-0.361921,0.0993521,0.0103245,-0.0861052,0.000951327,0.00486444,0.0488024,0.214266,0.330932,0.0497537,0.0529878,0.0331174,0.0324461,0.004219,0.000142416,0.297472,-0.000957966,0.920454,-1.83672,-0.00577689
,,,,,,,,,,,,,,,,1.41112,-0.0897507,0.0,0.103559,0.00525295,0.346417,0.0157589,1.75071,-0.0,-0.00197095,0.00778761,0.225948,6.04152e-05,-0.0136577,-1.99995,-0.407043,0.00840472,-0.0116867,0.423652,0.00442478,0.0115399,0.246228,0.00067128,0.0449067,0.141217,-0.367165,0.103559,0.0103245,-0.0897507,0.000995575,0.00519254,0.0521521,0.250848,0.341993,0.0531477,0.0552312,0.0345195,0.0338482,0.004219,0.000617112,0.211073,-0.00149419,0.839583,-1.91227,0.00361295
,,,,,,,,,,,,,,,,1.43072,-0.093448,0.0,0.107825,0.00560524,0.360627,0.0168157,1.76116,-0.0,-0.0028869,0.00785398,0.229086,7.04845e-05,-0.0145736,-2.02675,-0.396606,0.00896838,-0.0116867,0.429536,0.00442478,0.0125867,0.246228,0.00067128,0.0516068,0.143179,-0.372265,0.107825,0.0058997,-0.093448,0.00106195,0.00553476,0.0556208,0.292656,0.356202,0.0566828,0.0575065,0.0359415,0.0352703,0.00422907,0.0011144,0.316099,-0.00115837,1.01907,-1.84601,0.059956
,,,,,,,,,,,,,,,,1.44977,-0.0971956,-0.0010472,0.111477,0.00597185,0.37503,0.0179155,1.78207,0.00067128,-0.00382437,0.00789823,0.232137,9.06229e-05,-0.0155268,-2.05355,-0.386169,0.00955495,-0.0117024,0.435256,0.0058997,0.0136865,0.246228,0.00201384,0.0539129,0.145085,-0.377222,0.112149,0.0058997,-0.0961484,0.00112832,0.00588122,0.0592326,0.324012,0.36913,0.0603609,0.0598126,0.0373829,0.0353691,0.00422907,0.00165673,0.285561,-0.00198239,0.893668,-1.81778,-0.0584368
,,,,,,,,,,,,,,,,1.46828,-0.100992,0.0,0.116529,0.00635296,0.389621,0.0190589,1.81342,-0.0,-0.00481527,0.0079646,0.2351,0.000110761,-0.0165177,-2.08035,-0.375732,0.0101647,-0.0117024,0.440813,0.0058997,0.0148298,0.246228,0.00067128,0.0577241,0.146938,-0.382038,0.116529,0.00442478,-0.100992,0.00119469,0.0062422,0.0629893,0.334464,0.383721,0.064184,0.0621489,0.0388431,0.0381718,0.00422907,0.00220014,0.317483,-0.000749451,0.992252,-1.81536,0.05435
